,hpo_id,hpo_term,ddd_freq,metamap_freq,identifier
57,HP:0006919,"abnormal aggressive, impulsive or violent behavior",1.0,4.0,"ADNP,MENTAL RETARDATION, AUTOSOMAL DOMINANT, 28"
58,HP:0005949,apneic episodes in infancy,1.0,,"ADNP,MENTAL RETARDATION, AUTOSOMAL DOMINANT, 28"
59,HP:0001508,failure to thrive,1.0,1.0,"ADNP,MENTAL RETARDATION, AUTOSOMAL DOMINANT, 28"
60,HP:0000023,inguinal hernia,1.0,,"ADNP,MENTAL RETARDATION, AUTOSOMAL DOMINANT, 28"
61,HP:0005490,postnatal macrocephaly,1.0,,"ADNP,MENTAL RETARDATION, AUTOSOMAL DOMINANT, 28"
62,HP:0001655,patent foramen ovale,1.0,1.0,"ADNP,MENTAL RETARDATION, AUTOSOMAL DOMINANT, 28"
63,HP:0000331,short chin,1.0,,"ADNP,MENTAL RETARDATION, AUTOSOMAL DOMINANT, 28"
64,HP:0001283,bulbar palsy,1.0,,"ADNP,MENTAL RETARDATION, AUTOSOMAL DOMINANT, 28"
65,HP:0000179,thick lower lip vermilion,1.0,,"ADNP,MENTAL RETARDATION, AUTOSOMAL DOMINANT, 28"
66,HP:0003244,penile hypospadias,1.0,,"ADNP,MENTAL RETARDATION, AUTOSOMAL DOMINANT, 28"
67,HP:0000003,multicystic kidney dysplasia,1.0,,"ADNP,MENTAL RETARDATION, AUTOSOMAL DOMINANT, 28"
68,HP:0000670,carious teeth,1.0,,"ADNP,MENTAL RETARDATION, AUTOSOMAL DOMINANT, 28"
69,HP:0002370,poor coordination,1.0,,"ADNP,MENTAL RETARDATION, AUTOSOMAL DOMINANT, 28"
70,HP:0002013,vomiting,1.0,1.0,"ADNP,MENTAL RETARDATION, AUTOSOMAL DOMINANT, 28"
71,HP:0004544,pointed frontal hairline,1.0,,"ADNP,MENTAL RETARDATION, AUTOSOMAL DOMINANT, 28"
72,HP:0002465,poor speech,1.0,,"ADNP,MENTAL RETARDATION, AUTOSOMAL DOMINANT, 28"
73,HP:0200005,abnormal shape of the palpebral fissure,1.0,,"ADNP,MENTAL RETARDATION, AUTOSOMAL DOMINANT, 28"
74,HP:0001659,aortic regurgitation,1.0,,"ADNP,MENTAL RETARDATION, AUTOSOMAL DOMINANT, 28"
75,HP:0011856,pica,1.0,,"ADNP,MENTAL RETARDATION, AUTOSOMAL DOMINANT, 28"
76,HP:0005607,abnormal tracheobronchial morphology,1.0,,"ADNP,MENTAL RETARDATION, AUTOSOMAL DOMINANT, 28"
77,HP:0002974,radioulnar synostosis,1.0,,"ADNP,MENTAL RETARDATION, AUTOSOMAL DOMINANT, 28"
78,HP:0001118,juvenile cataract,1.0,,"ADNP,MENTAL RETARDATION, AUTOSOMAL DOMINANT, 28"
79,HP:0001211,abnormal fingertip morphology,1.0,,"ADNP,MENTAL RETARDATION, AUTOSOMAL DOMINANT, 28"
80,HP:0000119,abnormality of the genitourinary system,1.0,,"ADNP,MENTAL RETARDATION, AUTOSOMAL DOMINANT, 28"
81,HP:0007010,poor fine motor coordination,1.0,,"ADNP,MENTAL RETARDATION, AUTOSOMAL DOMINANT, 28"
82,HP:0005616,accelerated skeletal maturation,1.0,,"ADNP,MENTAL RETARDATION, AUTOSOMAL DOMINANT, 28"
83,HP:0003241,external genital hypoplasia,1.0,,"ADNP,MENTAL RETARDATION, AUTOSOMAL DOMINANT, 28"
84,HP:0010862,delayed fine motor development,1.0,,"ADNP,MENTAL RETARDATION, AUTOSOMAL DOMINANT, 28"
85,HP:0001518,small for gestational age,1.0,,"ADNP,MENTAL RETARDATION, AUTOSOMAL DOMINANT, 28"
86,HP:0004696,talipes cavus equinovarus,1.0,,"ADNP,MENTAL RETARDATION, AUTOSOMAL DOMINANT, 28"
87,HP:0004619,lumbar kyphoscoliosis,1.0,,"ADNP,MENTAL RETARDATION, AUTOSOMAL DOMINANT, 28"
88,HP:0000995,melanocytic nevus,1.0,,"ADNP,MENTAL RETARDATION, AUTOSOMAL DOMINANT, 28"
89,HP:0005659,thoracic kyphoscoliosis,1.0,,"ADNP,MENTAL RETARDATION, AUTOSOMAL DOMINANT, 28"
90,HP:0011927,short digit,1.0,,"ADNP,MENTAL RETARDATION, AUTOSOMAL DOMINANT, 28"
91,HP:0100038,slow-growing scalp hair,1.0,,"ADNP,MENTAL RETARDATION, AUTOSOMAL DOMINANT, 28"
92,HP:0000276,long face,1.0,,"ADNP,MENTAL RETARDATION, AUTOSOMAL DOMINANT, 28"
93,HP:0003270,abdominal distention,1.0,,"ADNP,MENTAL RETARDATION, AUTOSOMAL DOMINANT, 28"
94,HP:0010721,abnormal hair whorl,1.0,,"ADNP,MENTAL RETARDATION, AUTOSOMAL DOMINANT, 28"
95,HP:0001627,abnormal heart morphology,1.0,,"ADNP,MENTAL RETARDATION, AUTOSOMAL DOMINANT, 28"
96,HP:0004482,relative macrocephaly,1.0,,"ADNP,MENTAL RETARDATION, AUTOSOMAL DOMINANT, 28"
97,HP:0001642,pulmonic stenosis,1.0,,"ADNP,MENTAL RETARDATION, AUTOSOMAL DOMINANT, 28"
98,HP:0001786,narrow foot,1.0,,"ADNP,MENTAL RETARDATION, AUTOSOMAL DOMINANT, 28"
99,HP:0008848,moderately short stature,1.0,,"ADNP,MENTAL RETARDATION, AUTOSOMAL DOMINANT, 28"
100,HP:0008936,muscular hypotonia of the trunk,1.0,,"ADNP,MENTAL RETARDATION, AUTOSOMAL DOMINANT, 28"
101,HP:0005743,avascular necrosis of the capital femoral epiphysis,1.0,,"ADNP,MENTAL RETARDATION, AUTOSOMAL DOMINANT, 28"
102,HP:0011968,feeding difficulties,1.0,4.0,"ADNP,MENTAL RETARDATION, AUTOSOMAL DOMINANT, 28"
103,HP:0000708,behavioral abnormality,1.0,15.0,"ADNP,MENTAL RETARDATION, AUTOSOMAL DOMINANT, 28"
104,HP:0001388,joint laxity,1.0,,"ADNP,MENTAL RETARDATION, AUTOSOMAL DOMINANT, 28"
105,HP:0001328,specific learning disability,1.0,,"ADNP,MENTAL RETARDATION, AUTOSOMAL DOMINANT, 28"
106,HP:0000964,eczema,1.0,,"ADNP,MENTAL RETARDATION, AUTOSOMAL DOMINANT, 28"
107,HP:0000407,sensorineural hearing impairment,1.0,,"ADNP,MENTAL RETARDATION, AUTOSOMAL DOMINANT, 28"
108,HP:0001773,short foot,1.0,,"ADNP,MENTAL RETARDATION, AUTOSOMAL DOMINANT, 28"
109,HP:0009062,infantile axial hypotonia,1.0,,"ADNP,MENTAL RETARDATION, AUTOSOMAL DOMINANT, 28"
110,HP:0001344,absent speech,1.0,,"ADNP,MENTAL RETARDATION, AUTOSOMAL DOMINANT, 28"
111,HP:0000733,stereotypy,1.0,10.0,"ADNP,MENTAL RETARDATION, AUTOSOMAL DOMINANT, 28"
112,HP:0000463,anteverted nares,1.0,2.0,"ADNP,MENTAL RETARDATION, AUTOSOMAL DOMINANT, 28"
113,HP:0000527,long eyelashes,1.0,2.0,"ADNP,MENTAL RETARDATION, AUTOSOMAL DOMINANT, 28"
114,HP:0011003,high myopia,1.0,,"ADNP,MENTAL RETARDATION, AUTOSOMAL DOMINANT, 28"
115,HP:0000286,epicanthus,1.0,,"ADNP,MENTAL RETARDATION, AUTOSOMAL DOMINANT, 28"
116,HP:0001250,seizures,1.0,8.0,"ADNP,MENTAL RETARDATION, AUTOSOMAL DOMINANT, 28"
117,HP:0030680,abnormality of cardiovascular system morphology,1.0,5.0,"ADNP,MENTAL RETARDATION, AUTOSOMAL DOMINANT, 28"
118,HP:0003508,proportionate short stature,1.0,,"ADNP,MENTAL RETARDATION, AUTOSOMAL DOMINANT, 28"
119,HP:0002650,scoliosis,1.0,,"ADNP,MENTAL RETARDATION, AUTOSOMAL DOMINANT, 28"
120,HP:0000954,single transverse palmar crease,1.0,1.0,"ADNP,MENTAL RETARDATION, AUTOSOMAL DOMINANT, 28"
121,HP:0000768,pectus carinatum,1.0,1.0,"ADNP,MENTAL RETARDATION, AUTOSOMAL DOMINANT, 28"
122,HP:0001845,overlapping toe,1.0,,"ADNP,MENTAL RETARDATION, AUTOSOMAL DOMINANT, 28"
123,HP:0004209,clinodactyly of the 5th finger,1.0,,"ADNP,MENTAL RETARDATION, AUTOSOMAL DOMINANT, 28"
124,HP:0001182,tapered finger,1.0,,"ADNP,MENTAL RETARDATION, AUTOSOMAL DOMINANT, 28"
125,HP:0011266,"microtia, first degree",1.0,,"ADNP,MENTAL RETARDATION, AUTOSOMAL DOMINANT, 28"
126,HP:0008935,generalized neonatal hypotonia,1.0,,"ADNP,MENTAL RETARDATION, AUTOSOMAL DOMINANT, 28"
127,HP:0002098,respiratory distress,1.0,,"ADNP,MENTAL RETARDATION, AUTOSOMAL DOMINANT, 28"
128,HP:0001488,bilateral ptosis,1.0,,"ADNP,MENTAL RETARDATION, AUTOSOMAL DOMINANT, 28"
129,HP:0000752,hyperactivity,1.0,4.0,"ADNP,MENTAL RETARDATION, AUTOSOMAL DOMINANT, 28"
130,HP:0007018,attention deficit hyperactivity disorder,1.0,6.0,"ADNP,MENTAL RETARDATION, AUTOSOMAL DOMINANT, 28"
131,HP:0000445,wide nose,1.0,,"ADNP,MENTAL RETARDATION, AUTOSOMAL DOMINANT, 28"
132,HP:0002209,sparse scalp hair,1.0,,"ADNP,MENTAL RETARDATION, AUTOSOMAL DOMINANT, 28"
133,HP:0000545,myopia,1.0,1.0,"ADNP,MENTAL RETARDATION, AUTOSOMAL DOMINANT, 28"
134,HP:0009890,high anterior hairline,1.0,4.0,"ADNP,MENTAL RETARDATION, AUTOSOMAL DOMINANT, 28"
135,HP:0001650,aortic valve stenosis,1.0,,"ADNP,MENTAL RETARDATION, AUTOSOMAL DOMINANT, 28"
136,HP:0000405,conductive hearing impairment,1.0,,"ADNP,MENTAL RETARDATION, AUTOSOMAL DOMINANT, 28"
137,HP:0003186,inverted nipples,1.0,,"ADNP,MENTAL RETARDATION, AUTOSOMAL DOMINANT, 28"
138,HP:0001513,obesity,1.0,,"ADNP,MENTAL RETARDATION, AUTOSOMAL DOMINANT, 28"
139,HP:0000324,facial asymmetry,1.0,,"ADNP,MENTAL RETARDATION, AUTOSOMAL DOMINANT, 28"
140,HP:0001763,pes planus,1.0,2.0,"ADNP,MENTAL RETARDATION, AUTOSOMAL DOMINANT, 28"
141,HP:0000185,cleft soft palate,1.0,,"ADNP,MENTAL RETARDATION, AUTOSOMAL DOMINANT, 28"
142,HP:0000718,aggressive behavior,1.0,0.5,"ADNP,MENTAL RETARDATION, AUTOSOMAL DOMINANT, 28"
143,HP:0000483,astigmatism,1.0,1.0,"ADNP,MENTAL RETARDATION, AUTOSOMAL DOMINANT, 28"
144,HP:0002360,sleep disturbance,1.0,,"ADNP,MENTAL RETARDATION, AUTOSOMAL DOMINANT, 28"
145,HP:0003758,reduced subcutaneous adipose tissue,1.0,,"ADNP,MENTAL RETARDATION, AUTOSOMAL DOMINANT, 28"
146,HP:0000047,hypospadias,1.0,,"ADNP,MENTAL RETARDATION, AUTOSOMAL DOMINANT, 28"
147,HP:0002307,drooling,1.0,,"ADNP,MENTAL RETARDATION, AUTOSOMAL DOMINANT, 28"
148,HP:0001620,high pitched voice,1.0,,"ADNP,MENTAL RETARDATION, AUTOSOMAL DOMINANT, 28"
149,HP:0002136,broad-based gait,1.0,,"ADNP,MENTAL RETARDATION, AUTOSOMAL DOMINANT, 28"
150,HP:0001561,polyhydramnios,1.0,,"ADNP,MENTAL RETARDATION, AUTOSOMAL DOMINANT, 28"
151,HP:0000612,iris coloboma,1.0,1.0,"ADNP,MENTAL RETARDATION, AUTOSOMAL DOMINANT, 28"
152,HP:0007598,bilateral single transverse palmar creases,1.0,,"ADNP,MENTAL RETARDATION, AUTOSOMAL DOMINANT, 28"
153,HP:0002566,intestinal malrotation,1.0,,"ADNP,MENTAL RETARDATION, AUTOSOMAL DOMINANT, 28"
154,HP:0001537,umbilical hernia,1.0,,"ADNP,MENTAL RETARDATION, AUTOSOMAL DOMINANT, 28"
155,HP:0000378,cupped ear,1.0,1.0,"ADNP,MENTAL RETARDATION, AUTOSOMAL DOMINANT, 28"
156,HP:0000307,pointed chin,1.0,,"ADNP,MENTAL RETARDATION, AUTOSOMAL DOMINANT, 28"
157,HP:0001562,oligohydramnios,1.0,,"ADNP,MENTAL RETARDATION, AUTOSOMAL DOMINANT, 28"
158,HP:0001028,hemangioma,1.0,1.0,"ADNP,MENTAL RETARDATION, AUTOSOMAL DOMINANT, 28"
159,HP:0009101,submucous cleft lip,1.0,,"ADNP,MENTAL RETARDATION, AUTOSOMAL DOMINANT, 28"
160,HP:0000581,blepharophimosis,,20.0,"ADNP,MENTAL RETARDATION, AUTOSOMAL DOMINANT, 28"
161,HP:0000776,congenital diaphragmatic hernia,,10.0,"ADNP,MENTAL RETARDATION, AUTOSOMAL DOMINANT, 28"
162,HP:0006288,advanced eruption of teeth,,9.0,"ADNP,MENTAL RETARDATION, AUTOSOMAL DOMINANT, 28"
163,HP:0000988,skin rash,,8.0,"ADNP,MENTAL RETARDATION, AUTOSOMAL DOMINANT, 28"
164,HP:0000431,wide nasal bridge,,8.0,"ADNP,MENTAL RETARDATION, AUTOSOMAL DOMINANT, 28"
165,HP:0000722,obsessive-compulsive behavior,,7.0,"ADNP,MENTAL RETARDATION, AUTOSOMAL DOMINANT, 28"
166,HP:0100543,cognitive impairment,,6.0,"ADNP,MENTAL RETARDATION, AUTOSOMAL DOMINANT, 28"
167,HP:0100753,schizophrenia,,5.0,"ADNP,MENTAL RETARDATION, AUTOSOMAL DOMINANT, 28"
168,HP:0100716,self-injurious behavior,,5.0,"ADNP,MENTAL RETARDATION, AUTOSOMAL DOMINANT, 28"
169,HP:0040289,cyclic neutropenia,,5.0,"ADNP,MENTAL RETARDATION, AUTOSOMAL DOMINANT, 28"
170,HP:0003764,nevus,,5.0,"ADNP,MENTAL RETARDATION, AUTOSOMAL DOMINANT, 28"
171,HP:0000505,visual impairment,,4.0,"ADNP,MENTAL RETARDATION, AUTOSOMAL DOMINANT, 28"
172,HP:0000684,delayed eruption of teeth,,4.0,"ADNP,MENTAL RETARDATION, AUTOSOMAL DOMINANT, 28"
173,HP:0000271,abnormality of the face,,4.0,"ADNP,MENTAL RETARDATION, AUTOSOMAL DOMINANT, 28"
174,HP:0000822,hypertension,,3.0,"ADNP,MENTAL RETARDATION, AUTOSOMAL DOMINANT, 28"
175,HP:0005458,premature closure of fontanelles,,3.0,"ADNP,MENTAL RETARDATION, AUTOSOMAL DOMINANT, 28"
176,HP:0002167,neurological speech impairment,,3.0,"ADNP,MENTAL RETARDATION, AUTOSOMAL DOMINANT, 28"
177,HP:0002719,recurrent infections,,3.0,"ADNP,MENTAL RETARDATION, AUTOSOMAL DOMINANT, 28"
178,HP:0000076,vesicoureteral reflux,,3.0,"ADNP,MENTAL RETARDATION, AUTOSOMAL DOMINANT, 28"
179,HP:0012063,aneurysmal bone cyst,,3.0,"ADNP,MENTAL RETARDATION, AUTOSOMAL DOMINANT, 28"
180,HP:0008768,inappropriate sexual behavior,,3.0,"ADNP,MENTAL RETARDATION, AUTOSOMAL DOMINANT, 28"
181,HP:0001363,craniosynostosis,,3.0,"ADNP,MENTAL RETARDATION, AUTOSOMAL DOMINANT, 28"
182,HP:0002511,alzheimer disease,,2.0,"ADNP,MENTAL RETARDATION, AUTOSOMAL DOMINANT, 28"
183,HP:0012168,head-banging,,2.0,"ADNP,MENTAL RETARDATION, AUTOSOMAL DOMINANT, 28"
184,HP:0001629,ventricular septal defect,,2.0,"ADNP,MENTAL RETARDATION, AUTOSOMAL DOMINANT, 28"
185,HP:0001511,intrauterine growth retardation,,2.0,"ADNP,MENTAL RETARDATION, AUTOSOMAL DOMINANT, 28"
186,HP:0000695,natal tooth,,2.0,"ADNP,MENTAL RETARDATION, AUTOSOMAL DOMINANT, 28"
187,HP:0002088,abnormal lung morphology,,2.0,"ADNP,MENTAL RETARDATION, AUTOSOMAL DOMINANT, 28"
188,HP:0001999,abnormal facial shape,,2.0,"ADNP,MENTAL RETARDATION, AUTOSOMAL DOMINANT, 28"
189,HP:0005575,hemolytic-uremic syndrome,,2.0,"ADNP,MENTAL RETARDATION, AUTOSOMAL DOMINANT, 28"
190,HP:0000735,impaired social interactions,,2.0,"ADNP,MENTAL RETARDATION, AUTOSOMAL DOMINANT, 28"
191,HP:0001254,lethargy,,2.0,"ADNP,MENTAL RETARDATION, AUTOSOMAL DOMINANT, 28"
192,HP:0045005,neural tube defect,,2.0,"ADNP,MENTAL RETARDATION, AUTOSOMAL DOMINANT, 28"
193,HP:0040019,finger clinodactyly,,2.0,"ADNP,MENTAL RETARDATION, AUTOSOMAL DOMINANT, 28"
194,HP:0000537,epicanthus inversus,,2.0,"ADNP,MENTAL RETARDATION, AUTOSOMAL DOMINANT, 28"
195,HP:0001155,abnormality of the hand,,2.0,"ADNP,MENTAL RETARDATION, AUTOSOMAL DOMINANT, 28"
196,HP:0000343,long philtrum,,2.0,"ADNP,MENTAL RETARDATION, AUTOSOMAL DOMINANT, 28"
197,HP:0001792,small nail,,2.0,"ADNP,MENTAL RETARDATION, AUTOSOMAL DOMINANT, 28"
198,HP:0001276,hypertonia,,2.0,"ADNP,MENTAL RETARDATION, AUTOSOMAL DOMINANT, 28"
199,HP:0000739,anxiety,,2.0,"ADNP,MENTAL RETARDATION, AUTOSOMAL DOMINANT, 28"
200,HP:0001256,"intellectual disability, mild",,2.0,"ADNP,MENTAL RETARDATION, AUTOSOMAL DOMINANT, 28"
201,HP:0004395,malnutrition,,2.0,"ADNP,MENTAL RETARDATION, AUTOSOMAL DOMINANT, 28"
202,HP:0025464,increased reactive oxygen species production,,2.0,"ADNP,MENTAL RETARDATION, AUTOSOMAL DOMINANT, 28"
203,HP:0000720,mood swings,,1.6666666666666667,"ADNP,MENTAL RETARDATION, AUTOSOMAL DOMINANT, 28"
204,HP:0000712,emotional lability,,1.6666666666666667,"ADNP,MENTAL RETARDATION, AUTOSOMAL DOMINANT, 28"
205,HP:0001575,mood changes,,1.6666666666666667,"ADNP,MENTAL RETARDATION, AUTOSOMAL DOMINANT, 28"
206,HP:0006913,frontal cortical atrophy,,1.0,"ADNP,MENTAL RETARDATION, AUTOSOMAL DOMINANT, 28"
207,HP:0002194,delayed gross motor development,,1.0,"ADNP,MENTAL RETARDATION, AUTOSOMAL DOMINANT, 28"
208,HP:0002206,pulmonary fibrosis,,1.0,"ADNP,MENTAL RETARDATION, AUTOSOMAL DOMINANT, 28"
209,HP:0001852,sandal gap,,1.0,"ADNP,MENTAL RETARDATION, AUTOSOMAL DOMINANT, 28"
210,HP:0006610,wide intermamillary distance,,1.0,"ADNP,MENTAL RETARDATION, AUTOSOMAL DOMINANT, 28"
211,HP:0000696,delayed eruption of permanent teeth,,1.0,"ADNP,MENTAL RETARDATION, AUTOSOMAL DOMINANT, 28"
212,HP:0003429,cns hypomyelination,,1.0,"ADNP,MENTAL RETARDATION, AUTOSOMAL DOMINANT, 28"
213,HP:0010055,broad hallux,,1.0,"ADNP,MENTAL RETARDATION, AUTOSOMAL DOMINANT, 28"
214,HP:0002171,gliosis,,1.0,"ADNP,MENTAL RETARDATION, AUTOSOMAL DOMINANT, 28"
215,HP:0011330,metopic synostosis,,1.0,"ADNP,MENTAL RETARDATION, AUTOSOMAL DOMINANT, 28"
216,HP:0030051,tip-toe gait,,1.0,"ADNP,MENTAL RETARDATION, AUTOSOMAL DOMINANT, 28"
217,HP:0200048,cyanotic episode,,1.0,"ADNP,MENTAL RETARDATION, AUTOSOMAL DOMINANT, 28"
218,HP:0100021,cerebral palsy,,1.0,"ADNP,MENTAL RETARDATION, AUTOSOMAL DOMINANT, 28"
219,HP:0001355,megalencephaly,,1.0,"ADNP,MENTAL RETARDATION, AUTOSOMAL DOMINANT, 28"
220,HP:0000077,abnormality of the kidney,,1.0,"ADNP,MENTAL RETARDATION, AUTOSOMAL DOMINANT, 28"
221,HP:0006337,premature eruption of permanent teeth,,1.0,"ADNP,MENTAL RETARDATION, AUTOSOMAL DOMINANT, 28"
222,HP:0001274,agenesis of corpus callosum,,1.0,"ADNP,MENTAL RETARDATION, AUTOSOMAL DOMINANT, 28"
223,HP:0001156,brachydactyly,,1.0,"ADNP,MENTAL RETARDATION, AUTOSOMAL DOMINANT, 28"
224,HP:0000510,rod-cone dystrophy,,1.0,"ADNP,MENTAL RETARDATION, AUTOSOMAL DOMINANT, 28"
225,HP:0000238,hydrocephalus,,1.0,"ADNP,MENTAL RETARDATION, AUTOSOMAL DOMINANT, 28"
226,HP:0000154,wide mouth,,1.0,"ADNP,MENTAL RETARDATION, AUTOSOMAL DOMINANT, 28"
227,HP:0003763,bruxism,,1.0,"ADNP,MENTAL RETARDATION, AUTOSOMAL DOMINANT, 28"
