name	HPO.term	HPO.label	HPO.level	gene	disease.name	literature_model	ddd_model	OV	OVG
31	HP:0000534	Abnormal eyebrow morphology	8	SCN2A;KMT2A;IQSEC2;GRIN2B;EHMT1;CACNA1A	BENIGN FAMILIAL NEONATAL INFANTILE SEIZURES;INFANTILE EPILEPTIC ENCEPHALOPATHY;NONSPECIFIC SEVERE ID;WIEDEMANN-STEINER SYNDROME;MENTAL RETARDATION X-LINKED TYPE 1;EPILEPTIC ENCEPHALOPATHY;MENTAL RETARDATION, AUTOSOMAL DOMINANT 6;Kleefstra syndrome	LIT:20x	DDD:51x;DDD:50x;DDD:49x;DDD:37x;DDD:28x;DDD:24x;DDD:23x;DDD:8x	LIT;DDD	LIT:20x;DDD:51x;DDD:50x;DDD:49x;DDD:37x;DDD:28x;DDD:24x;DDD:23x;DDD:8x
32	HP:0040296	Abnormal location of the eyebrow	9						
33	HP:0030126	Abnormality of the endometrium	9						
34	HP:0040298	Hyperplasia of the endometrium	10						
35	HP:0040300	Abnormal circulating free fatty acid concentration	6						
36	HP:0040299	Decreased circulating free fatty acid level	7						
37	HP:0004359	Abnormal circulating fatty-acid concentration	5						
38	HP:0031979	Abnormal urine carbohydrate level	7						
39	HP:0040301	Increased urinary glycerol	8						
40	HP:0031795	Abnormal circulating glycerol level	5						
41	HP:0040302	Hyperglycerolemia	6						
42	HP:0040130	Abnormal serum iron concentration	8						
43	HP:0040303	Decreased serum iron	9						
44	HP:0002679	Abnormality of the sella turcica	7						
45	HP:0040304	Duplication of the sella turcica	8						
46	HP:0040307	Male sexual dysfunction	6						
47	HP:0040305	Increased male libido	7						
48	HP:0046503	Increased libido	6						
49	HP:0040306	Decreased male libido	7						
50	HP:0046504	Decreased libido	6						
51	HP:0012874	Abnormal male reproductive system physiology	5						
52	HP:0040308	Male anorgasmia	7						
53	HP:0046502	Anorgasmia	5						
54	HP:0000277	Abnormality of the mandible	9						
55	HP:0040309	Increased size of the mandible	10						
56	HP:0001369	Arthritis	6	KAT6A	MENTAL RETARDATION, AUTOSOMAL DOMINANT 32	LIT:29x		LIT	LIT:29x
57	HP:0040310	Sterile arthritis	7						
58	HP:0040311	Symetrical distal arthritis	7						
59	HP:0040312	Temporomandibular arthritis	7						
60	HP:0040313	Oligoarthritis	7						
61	HP:0000142	Abnormal vagina morphology	7						
62	HP:0040314	Blind vagina	8						
63	HP:0000157	Abnormality of the tongue	8	MED13L	INTELLECTUAL DISABILITY		DDD:42x	DDD	DDD:42x
64	HP:0040315	Tongue edema	9						
65	HP:0000969	Edema	5	GATA3;DNM1L;SCN2A;PURA;KMT2A;KIF1A;HDAC8;FOXP1;DYRK1A;ANKRD11	HYPOPARATHYROIDISM, SENSORINEURAL DEAFNESS, AND RENAL DISEASE;DNM1L-related developmental disorder (monoallelic);BENIGN FAMILIAL NEONATAL INFANTILE SEIZURES;INFANTILE EPILEPTIC ENCEPHALOPATHY;NONSPECIFIC SEVERE ID;INTELLECTUAL DISABILITY;WIEDEMANN-STEINER SYNDROME;NESCAV SYNDROME;Cornelia de Lange Syndrome HDAC8 X-linked dominant;CORNELIA DE LANGE-LIKE SYNDROME HDAC8 XLR;MENTAL RETARDATION WITH LANGUAGE IMPAIRMENT AND AUTISTIC FEATURES;MENTAL RETARDATION AUTOSOMAL DOMINANT TYPE 7;KBG SYNDROME	LIT:76x;LIT:66x;LIT:50x;LIT:37x;LIT:36x;LIT:22x;LIT:18x;LIT:2x	DDD:51x;DDD:50x;DDD:49x;DDD:47x;DDD:26x;DDD:25x	LIT;DDD	LIT:76x;LIT:66x;LIT:50x;LIT:37x;LIT:36x;LIT:22x;LIT:18x;LIT:2x;DDD:51x;DDD:50x;DDD:49x;DDD:47x;DDD:26x;DDD:25x
66	HP:0012086	Abnormal urinary color	7						
67	HP:0040317	Blue urine	8						
68	HP:0040318	Red urine	8						
69	HP:0040319	Dark urine	8						
70	HP:0040320	Red-brown urine	8	KCNQ2	EPILEPTIC ENCEPHALOPATHY EARLY INFANTILE TYPE 7	LIT:33x		LIT	LIT:33x
71	HP:0040321	Dark yellow urine	8						
72	HP:0040322	Purple urine	8						
73	HP:0000492	Abnormal eyelid morphology	8	KCNQ2;ANKRD11	EPILEPTIC ENCEPHALOPATHY EARLY INFANTILE TYPE 7;BENIGN NEONATAL EPILEPSY TYPE 1;KBG SYNDROME		DDD:33x;DDD:32x;DDD:2x	DDD	DDD:33x;DDD:32x;DDD:2x
74	HP:0040323	Erythema of the eyelids	9						
75	HP:0010783	Erythema	7	DNM1L	DNM1L-related developmental disorder (monoallelic)	LIT:66x		LIT	LIT:66x
76	HP:0000988	Skin rash	7	USP9X;TRIO;SATB2;PTPN11;POGZ;ANKRD11;ADNP	MENTAL RETARDATION, X-LINKED 99; MRX99;INTELLECTUAL DISABILITY;GLASS SYNDROME;NOONAN SYNDROME 1;LEOPARD SYNDROME TYPE 1;KBG SYNDROME;MENTAL RETARDATION, AUTOSOMAL DOMINANT, 28	LIT:73x;LIT:63x;LIT:48x;LIT:46x;LIT:45x;LIT:43x;LIT:2x;LIT:0x		LIT	LIT:73x;LIT:63x;LIT:48x;LIT:46x;LIT:45x;LIT:43x;LIT:2x;LIT:0x
77	HP:0040324	Heliotrope rash	8						
78	HP:0040325	Bull's eye rash	8						
79	HP:0040327	Abnormal morphology of the olfactory bulb	7						
80	HP:0040326	Hypoplasia of the olfactory bulb	8						
81	HP:0002977	Aplasia/Hypoplasia involving the central nervous system	5						
82	HP:0100547	Abnormality of forebrain morphology	6	DYRK1A	MENTAL RETARDATION AUTOSOMAL DOMINANT TYPE 7		DDD:18x	DDD	DDD:18x
83	HP:3000005	Abnormality of masseter muscle	9						
84	HP:0045085	Atrophy of masseter muscle	10						
85	HP:0001382	Joint hypermobility	6	CAMK2G;USP9X;USP7;TRIP12;TCF4;TCF20;TBL1XR1;STXBP1;SMC1A;SLC6A1;SETD5;SCN2A;SATB2;PURA;PTPN11;PPP2R5D;MED13L;MECP2;KMT2D;KMT2A;KCNQ2;KAT6A;IQSEC2;GRIN2B;FOXP1;EP300;EHMT1;EFTUD2;DYNC1H1;DDX3X;CTNNB1;CREBBP;CHD7;CDK13;CACNA1A;ASXL3;ARID1B;ANKRD11;ADNP	INTELLECTUAL DEVELOPMENTAL DISORDER 59;MENTAL RETARDATION, X-LINKED 99; MRX99;USP7-related developmental disorder (monoallelic);TRIP12-related intellectual disability with/without autism spectrum disorder;PITT-HOPKINS SYNDROME;TCF20 syndrome;Pierpont syndrome;Intellectual disability with autism spectrum disorder;EPILEPTIC ENCEPHALOPATHY EARLY INFANTILE TYPE 4;EPILEPTIC ENCEPHALOPATHY;CORNELIA DE LANGE SYNDROME TYPE 2;EPILEPSY WITH MYOCLONIC-ATONIC SEIZURES;MENTAL RETARDATION, AUTOSOMAL DOMINANT 23;BENIGN FAMILIAL NEONATAL INFANTILE SEIZURES;INFANTILE EPILEPTIC ENCEPHALOPATHY;NONSPECIFIC SEVERE ID;GLASS SYNDROME;INTELLECTUAL DISABILITY;NOONAN SYNDROME 1;LEOPARD SYNDROME TYPE 1;MENTAL RETARDATION SYNDROMIC X-LINKED TYPE 13;RETT SYNDROME (RTT)[;KMT2D multiple malformations disorder;KABUKI SYNDROME;WIEDEMANN-STEINER SYNDROME;EPILEPTIC ENCEPHALOPATHY EARLY INFANTILE TYPE 7;BENIGN NEONATAL EPILEPSY TYPE 1;MENTAL RETARDATION, AUTOSOMAL DOMINANT 32;MENTAL RETARDATION X-LINKED TYPE 1;MENTAL RETARDATION, AUTOSOMAL DOMINANT 6;MENTAL RETARDATION WITH LANGUAGE IMPAIRMENT AND AUTISTIC FEATURES;RUBINSTEIN-TAYBI SYNDROME TYPE 2;Kleefstra syndrome;MANDIBULOFACIAL DYSOSTOSIS WITH MICROCEPHALY;SEVERE ID WITH NEURONAL MIGRATION DISORDER;SPINAL MUSCULAR ATROPHY, LOWER EXTREMITY-PREDOMINANT, AD;MENTAL RETARDATION, X-LINKED 102;MENTAL RETARDATION, AUTOSOMAL DOMINANT 19;RUBINSTEIN-TAYBI SYNDROME TYPE 1;CHARGE SYNDROME;Syndromic INTELLECTUAL DISABILITY with or without congenital heart disease;BAINBRIDGE-ROPERS SYNDROME;MENTAL RETARDATION, AUTOSOMAL DOMINANT 12;KBG SYNDROME;MENTAL RETARDATION, AUTOSOMAL DOMINANT, 28	LIT:73x;LIT:46x;LIT:28x	DDD:75x;DDD:73x;DDD:69x;DDD:64x;DDD:62x;DDD:61x;DDD:60x;DDD:59x;DDD:57x;DDD:55x;DDD:54x;DDD:53x;DDD:52x;DDD:51x;DDD:50x;DDD:49x;DDD:48x;DDD:47x;DDD:46x;DDD:45x;DDD:44x;DDD:42x;DDD:41x;DDD:40x;DDD:39x;DDD:38x;DDD:37x;DDD:33x;DDD:32x;DDD:29x;DDD:24x;DDD:23x;DDD:22x;DDD:21x;DDD:20x;DDD:19x;DDD:17x;DDD:16x;DDD:15x;DDD:14x;DDD:13x;DDD:12x;DDD:11x;DDD:10x;DDD:9x;DDD:8x;DDD:4x;DDD:3x;DDD:2x;DDD:0x	LIT;DDD	LIT:73x;LIT:46x;LIT:28x;DDD:75x;DDD:73x;DDD:69x;DDD:64x;DDD:62x;DDD:61x;DDD:60x;DDD:59x;DDD:57x;DDD:55x;DDD:54x;DDD:53x;DDD:52x;DDD:51x;DDD:50x;DDD:49x;DDD:48x;DDD:47x;DDD:46x;DDD:45x;DDD:44x;DDD:42x;DDD:41x;DDD:40x;DDD:39x;DDD:38x;DDD:37x;DDD:33x;DDD:32x;DDD:29x;DDD:24x;DDD:23x;DDD:22x;DDD:21x;DDD:20x;DDD:19x;DDD:17x;DDD:16x;DDD:15x;DDD:14x;DDD:13x;DDD:12x;DDD:11x;DDD:10x;DDD:9x;DDD:8x;DDD:4x;DDD:3x;DDD:2x;DDD:0x
86	HP:0045086	Knee joint hypermobility	9						
87	HP:0010500	Hyperextensibility of the knee	8	SCN2A	BENIGN FAMILIAL NEONATAL INFANTILE SEIZURES;INFANTILE EPILEPTIC ENCEPHALOPATHY;NONSPECIFIC SEVERE ID		DDD:51x;DDD:50x;DDD:49x	DDD	DDD:51x;DDD:50x;DDD:49x
88	HP:0045087	Hip joint hypermobility	9						
89	HP:0001384	Abnormality of the hip joint	8	PTPN11	NOONAN SYNDROME 1;LEOPARD SYNDROME TYPE 1		DDD:46x;DDD:45x	DDD	DDD:46x;DDD:45x
90	HP:0000372	Abnormality of the auditory canal	5	HUWE1	MENTAL RETARDATION SYNDROMIC X-LINKED TURNER TYPE		DDD:27x	DDD	DDD:27x
91	HP:0410017	Otitis externa	6						
92	HP:0002719	Recurrent infections	5	TRIP12;TCF4;SETD5;SCN2A;MED13L;MECP2;KMT2D;KMT2A;KCNQ2;KAT6B;KAT6A;EP300;EHMT1;DYRK1A;DDX3X;CDK13;AUTS2;ATRX;ARID1B;ANKRD11;ADNP	TRIP12-related intellectual disability with/without autism spectrum disorder;PITT-HOPKINS SYNDROME;MENTAL RETARDATION, AUTOSOMAL DOMINANT 23;BENIGN FAMILIAL NEONATAL INFANTILE SEIZURES;INFANTILE EPILEPTIC ENCEPHALOPATHY;NONSPECIFIC SEVERE ID;INTELLECTUAL DISABILITY;RETT SYNDROME (RTT)[;KABUKI SYNDROME;WIEDEMANN-STEINER SYNDROME;EPILEPTIC ENCEPHALOPATHY EARLY INFANTILE TYPE 7;BENIGN NEONATAL EPILEPSY TYPE 1;GENITOPATELLAR SYNDROME;MENTAL RETARDATION, AUTOSOMAL DOMINANT 32;RUBINSTEIN-TAYBI SYNDROME TYPE 2;Kleefstra syndrome;MENTAL RETARDATION AUTOSOMAL DOMINANT TYPE 7;MENTAL RETARDATION, X-LINKED 102;Syndromic INTELLECTUAL DISABILITY with or without congenital heart disease;SYNDROMIC INTELLECTUAL DISABILITY;MENTAL RETARDATION SYNDROMIC X-LINKED WITH HYPOTONIC FACIES SYNDROME TYPE 1;MENTAL RETARDATION, AUTOSOMAL DOMINANT 12;KBG SYNDROME;MENTAL RETARDATION, AUTOSOMAL DOMINANT, 28	LIT:64x;LIT:62x;LIT:52x;LIT:40x;LIT:38x;LIT:37x;LIT:30x;LIT:29x;LIT:20x;LIT:18x;LIT:15x;LIT:13x;LIT:9x;LIT:7x;LIT:6x;LIT:3x;LIT:2x;LIT:0x	DDD:51x;DDD:50x;DDD:49x;DDD:42x;DDD:33x;DDD:32x;DDD:21x;DDD:15x;DDD:14x;DDD:13x;DDD:3x	LIT;DDD	LIT:64x;LIT:62x;LIT:52x;LIT:40x;LIT:38x;LIT:37x;LIT:30x;LIT:29x;LIT:20x;LIT:18x;LIT:15x;LIT:13x;LIT:9x;LIT:7x;LIT:6x;LIT:3x;LIT:2x;LIT:0x;DDD:51x;DDD:50x;DDD:49x;DDD:42x;DDD:33x;DDD:32x;DDD:21x;DDD:15x;DDD:14x;DDD:13x;DDD:3x
93	HP:0410018	Recurrent ear infections	6	STXBP1;SATB2;KAT6A;DDX3X	EPILEPTIC ENCEPHALOPATHY EARLY INFANTILE TYPE 4;GLASS SYNDROME;MENTAL RETARDATION, AUTOSOMAL DOMINANT 32;MENTAL RETARDATION, X-LINKED 102	LIT:57x;LIT:48x;LIT:29x;LIT:15x;LIT:13x		LIT	LIT:57x;LIT:48x;LIT:29x;LIT:15x;LIT:13x
94	HP:0012531	Pain	3	GATA3;TBL1XR1;SCN2A;POGZ;KAT6B;IQSEC2;AHDC1	HYPOPARATHYROIDISM, SENSORINEURAL DEAFNESS, AND RENAL DISEASE;Pierpont syndrome;INFANTILE EPILEPTIC ENCEPHALOPATHY;INTELLECTUAL DISABILITY;SAY-BARBER-BIESECKER-YOUNG-SIMPSON SYNDROME;GENITOPATELLAR SYNDROME;MENTAL RETARDATION X-LINKED TYPE 1;XIA-GIBBS SYNDROME	LIT:76x;LIT:60x;LIT:50x;LIT:43x;LIT:31x;LIT:30x;LIT:28x;LIT:1x		LIT	LIT:76x;LIT:60x;LIT:50x;LIT:43x;LIT:31x;LIT:30x;LIT:28x;LIT:1x
95	HP:0410019	Epigastric pain	4	EP300	RUBINSTEIN-TAYBI SYNDROME TYPE 2	LIT:21x		LIT	LIT:21x
96	HP:0031476	Abnormal buccal mucosa cell morphology	4						
97	HP:0410023	Abnormal distribution of cell junction proteins in buccal mucosal cells	8						
98	HP:3000019	Abnormality of buccal mucosa	7						
